Jour;JS;Ligne de planche;Qualif 1;Qualif 2;Qualif 3;Vacation;Nom Prénom
13/10/2025;1;1;AF;;;AP02;
13/10/2025;1;2;AT;;;AP03;
13/10/2025;1;3;AT;;;NR02;
13/10/2025;1;4;AT;;;AP02;
13/10/2025;1;5;AT;;;MT01;
13/10/2025;1;6;AT;;;AP03;
13/10/2025;1;7;AT;;;AP02;
13/10/2025;1;8;AT;;;MT01;
13/10/2025;1;9;AT;;;AP03;
13/10/2025;1;10;AT;;;AP02;
13/10/2025;1;11;AT;;;AP02;
13/10/2025;1;12;AF;;;MT01;
13/10/2025;1;13;AT;;;AP03;
13/10/2025;1;14;SV;;;MT01;
13/10/2025;1;15;AT;;;AP02;
13/10/2025;1;16;TU;;;AP02;
13/10/2025;1;17;IB;;;AP02;
13/10/2025;1;18;AT;;;N8;
13/10/2025;1;19;AT;;;AP02;
13/10/2025;1;20;AT;;;MT01;
13/10/2025;1;21;FEDEX;;;MT01;
13/10/2025;1;22;AT;;;AP03;
13/10/2025;1;23;AT;;;MT01;
13/10/2025;1;24;AT;;;AP03;
13/10/2025;1;25;AT;;;AP03;
13/10/2025;1;26;AT;;;MT01;
13/10/2025;1;27;AT;;;AP02;
13/10/2025;1;28;AT;;;MT01;
13/10/2025;1;29;AT;;;AP03;
13/10/2025;1;30;TB;;;MT01;
13/10/2025;1;31;EK;;;NR02;
13/10/2025;1;32;AT;;;AP03;
13/10/2025;1;33;AT;;;AP02;
13/10/2025;1;34;AT;;;AP02;
13/10/2025;1;35;GF;;;MT01;
13/10/2025;1;36;TB;;;MT02;
13/10/2025;1;37;QR;;;AP02;
13/10/2025;1;38;TB;;;AP02;
13/10/2025;1;39;TB;;;AP02;
13/10/2025;1;40;AT;;;AP02;
13/10/2025;1;41;AT;;;AP02;
13/10/2025;1;42;AT;;;MT01;
13/10/2025;1;43;AT;;;MT01;
13/10/2025;1;44;AT;;;AP02;
13/10/2025;1;45;AT;;;MT01;
13/10/2025;1;46;IB;TK;;NR02;
13/10/2025;1;47;AT;;;AP03;
13/10/2025;1;48;AT;;;MT01;
13/10/2025;1;49;FEDEX;QR;;AP02;
13/10/2025;1;50;GF;;;MT01;
13/10/2025;1;51;AT;;;MT01;
14/10/2025;2;52;TB;;;AP02;
14/10/2025;2;53;AT;;;AP03;
14/10/2025;2;54;AT;;;AP02;
14/10/2025;2;55;SV;;;AP02;
14/10/2025;2;56;AF;;;MT01;
14/10/2025;2;57;AT;;;MT01;
14/10/2025;2;58;AT;;;AP03;
14/10/2025;2;59;TO;;;AP02;
14/10/2025;2;60;AT;;;AP03;
14/10/2025;2;61;AT;;;MT01;
14/10/2025;2;62;AT;;;AP03;
